Product ID,Product Name,Region,Ship Mode,Current Factory,Recommended Factory,Lead Time Reduction (%),Scenario Reliability,Profit Risk,Recommendation Score,Recommendation Status
SUG-EVE-47000,Everlasting Gobstopper,Interior,Standard Class,Lot's O' Nuts,Wicked Choccy's,18.558196221815965,High,Stable / Positive,0.9446391823701701,Strong Candidate
SUG-HAI-55000,Hair Toffee,Atlantic,Standard Class,Lot's O' Nuts,Wicked Choccy's,18.280658938377055,High,Stable / Positive,0.9434546515630393,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Interior,Same Day,Lot's O' Nuts,Wicked Choccy's,7.636220983713009,High,Stable / Positive,0.898024125884979,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Atlantic,Same Day,Lot's O' Nuts,Wicked Choccy's,6.720509515174028,High,Stable / Positive,0.8941158637895694,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Gulf,First Class,Lot's O' Nuts,Wicked Choccy's,6.171355301169459,High,Stable / Positive,0.8917720702772385,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Interior,Same Day,Lot's O' Nuts,Wicked Choccy's,4.607181111162858,High,Stable / Positive,0.8850961653580016,Strong Candidate
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Gulf,Second Class,Lot's O' Nuts,Wicked Choccy's,3.650970612683978,High,Stable / Positive,0.8810150531574519,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Atlantic,Standard Class,Lot's O' Nuts,Wicked Choccy's,3.277559708928396,High,Stable / Positive,0.8794213331579752,Strong Candidate
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Pacific,Same Day,Lot's O' Nuts,Wicked Choccy's,2.8860573163438934,High,Stable / Positive,0.8777503985745725,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Gulf,First Class,Lot's O' Nuts,Wicked Choccy's,2.1181995493192387,High,Stable / Positive,0.874473176972973,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Interior,Standard Class,Lot's O' Nuts,Wicked Choccy's,1.9798193706006613,High,Stable / Positive,0.8738825695318488,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Atlantic,First Class,Lot's O' Nuts,Wicked Choccy's,1.4902968509666423,High,Stable / Positive,0.8717932844523602,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Pacific,First Class,Lot's O' Nuts,Wicked Choccy's,1.285750515137109,High,Stable / Positive,0.8709202794518298,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Pacific,Standard Class,Lot's O' Nuts,Wicked Choccy's,1.2590587618964593,High,Stable / Positive,0.8708063588872912,Strong Candidate
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Gulf,First Class,Lot's O' Nuts,Wicked Choccy's,1.022918753314081,High,Stable / Positive,0.8697985119000466,Strong Candidate
SUG-EVE-47000,Everlasting Gobstopper,Pacific,First Class,Lot's O' Nuts,Wicked Choccy's,0.7312680115273841,High,Stable / Positive,0.8685537447671836,Strong Candidate
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Pacific,Standard Class,Lot's O' Nuts,Wicked Choccy's,0.6697651526108777,High,Stable / Positive,0.8682912501927231,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Interior,First Class,Lot's O' Nuts,Wicked Choccy's,0.5766168826896528,High,Stable / Positive,0.8678936928123762,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Interior,Standard Class,Lot's O' Nuts,Wicked Choccy's,0.31451965677751437,High,Stable / Positive,0.8667750602643107,Strong Candidate
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Gulf,Second Class,Lot's O' Nuts,Wicked Choccy's,0.152828802351207,High,Stable / Positive,0.8660849627180423,Strong Candidate
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Interior,First Class,Lot's O' Nuts,Wicked Choccy's,0.1407598748685808,High,Stable / Positive,0.8660334524624287,Strong Candidate
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Atlantic,Second Class,Lot's O' Nuts,Wicked Choccy's,-0.30121642685382494,High,Stable / Positive,0.8641470949290377,Low Priority
CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,Atlantic,Second Class,Lot's O' Nuts,Wicked Choccy's,-0.3639970126960499,High,Stable / Positive,0.8638791470083174,Low Priority
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Atlantic,Second Class,Lot's O' Nuts,Wicked Choccy's,-0.4857651530947793,High,Stable / Positive,0.8633594398473836,Low Priority
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Gulf,Standard Class,Lot's O' Nuts,Wicked Choccy's,-0.4954179728991621,High,Stable / Positive,0.8633182415539784,Low Priority
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Atlantic,First Class,Lot's O' Nuts,Wicked Choccy's,-0.5812836636684418,High,Stable / Positive,0.8629517662655721,Low Priority
CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,Pacific,Standard Class,Lot's O' Nuts,Wicked Choccy's,-0.7197408110825545,High,Stable / Positive,0.8623608303215893,Low Priority
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Atlantic,Standard Class,Lot's O' Nuts,Wicked Choccy's,-0.7878262848755319,High,Stable / Positive,0.8620702411069563,Low Priority
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Interior,Standard Class,Lot's O' Nuts,Wicked Choccy's,-0.8221406745712695,High,Stable / Positive,0.8619237870838468,Low Priority
CHO-FUD-51000,Wonka Bar - Fudge Mallows,Interior,First Class,Lot's O' Nuts,Wicked Choccy's,-0.8702935697483112,High,Stable / Positive,0.8617182702355048,Low Priority
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Atlantic,Standard Class,Lot's O' Nuts,Wicked Choccy's,-1.0748128199816525,High,Stable / Positive,0.8608453808364633,Low Priority
CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,Atlantic,Second Class,Lot's O' Nuts,Wicked Choccy's,-1.1622952024098279,High,Stable / Positive,0.8604720054982624,Low Priority
